상품명,상품특징,대출신청자격,대출금액,대출기간,대출한도,원리금상환방법,인터넷대출,가입채널,대출신청,특례보증,대출금,통장자동대출,대출종류,대출신청시기,대출지급방법,대출금지급,상환방법,대출신청지점,대출대상주택,대출실행(지급),대출대상,대출실행(지급)시기,보험서비스,임차인,보증신청시기,신청자격,보증금액,보증기간,대상주택,인터넷보증,국민카드,KB국민카드,추가대출
KB 주거래고객 우대대출 (2019.02.27 판매중단),KB국민은행 거래실적에 따라 대출한도를 산정하여 서류제출 없이 받을 수 있는 인터넷 / KB스타뱅킹 전용 신용대출 KB스타클럽 고객등급에 따른 우대금리 제공,"KB스타클럽 MVP스타, 로얄스타, 골드스타 고객으로서 KB국민은행 개인신용평가시스템(CSS)에 의해 대출한도가 산정되는 고객",최대 5천만원 이내 ※ 대출한도는 개인신용평가(CSS)결과 및 스타클럽 고객등급 등에 따라 차등 적용됩니다.,,,,"신청시 유의사항 인터넷대출 유의사항 대출신청방법 * 인터넷 대출 - KB국민은행 홈페이지(www.kbstar.com) * 스마트폰 - KB스타뱅킹 대출신청가능시간 * 24시간(토요일, 공휴일 포함) * 시스템 점검에 따른 거래제한 시간(23:50~00:10)은 대출신청 불가 대출신청에 대한 본인 확인절차 * 09:00∼17:30(영업일): 스마트고객상담부 확인 * 그 외 시간: ARS 인증번호 확인 기 타 * 대출신청은 1일 2회, 월 5회만 가능합니다. (대출실행은 1일 1회만 가능) * 공인인증서 신규/갱신/재발급일을 포함하여 4일간 대출신청이 불가합니다. *「인터넷대출불가등록」신청고객은 인터넷대출이 불가합니다.",,,,,,,,,,"및 대출기간 상환방법: 일시상환(종합통장자동대출 포함), 원(리)금균등 분할상환 대출기간 - 일시상환(종합통장자동대출 포함): 1년(요건 충족시 최장 10년까지 기한연장 가능) - 원(리)금균등 분할상환: 최저 1년 이상~최장 5년 이내(거치기간 없음)",,,,,,,,,,,,,,,,
KB 안전망 대출 (2019.11.05 판매중단),금융소외자의 고금리대출을 「국민행복기금」의 신용보증을 통해 제도권 금융기관 대출로 전환 매 6개월마다 국민행복기금 보증료 할인을 통해 금리부담 경감,연 24% 초과 고금리대출 이용고객 중 해당 대출의 만기일이 3개월 이내로서 ㈜국민행복기금의 신용보증서 발급이 가능한 고객,"최대 2천만원 이내 ※ 신용보증서상 대출예정금액과 고금리채무 총 상환금액 합계 중 작은 금액 이내 (단, 바꿔드림론 포함 최대 3천만원까지 가능)",및 상환 방법 대출기간 : 최저 1년 이상 최장 10년 이내(연 단위) 상환방법 : 원리금균등 분할상환(거치기간 없음),,,,,,,지급 고객이 작성한 「고금리채무 내역 및 송금요청서」상의 해당 채권기관 명의 상환계좌로 입금,,,「국민행복기금」 신용보증신청 접수증 발급일로부터 30일 이내,,,,,,,,,,,,,,,,,,,
휴·폐업 개인사업자 신용대출에 대한 가계대출 채무조정프로그램,약정기일 경과 또는 연체 중인 개인사업자 신용대출을 가계신용대출로 전환,개인신용평가시스템(CSS) 등에 의해 산출된 의무상환금액(잔액 X 의무상환비율(최대 20%))만큼을 상환한 고객(신용관리정보 등록고객 포함),"전환대출 신청시점의 대출잔액에 약정이자 + 연체이자를 합한 금액 범위 이내에서 최고 1억원 이내 ※ 단, 아래의 조건(① ~ ③) 을 모두 충족 시 최대 3억원 이내 ① 가계신용 전환대출이 기존 SOHO대출 근저당권의 피담보채무 범위에 포함되는 경우 ② 가계전환 담보대출과 신용대출의 합계금액이 SOHO대출 취급시 설정한 채권최고액 범위이내인 경우 ③ 담보부동산의 소유권 변동이 없고 가등기를 포함한 권리침해가 없는 경우 ※ 통장자동대출은 실제대출잔액 기준",및 상환 방법 대출기간: 최저 1년 이상 최장 10년 이내 ※ 거치기간 운용불가 상환방법: 원금균등분할상환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 가업승계기업 상속/증여세 납부자금대출(신용),가업승계기업의 후계자에게 상속 및 증여세 납부를 위한 자금을 지원하기 위한 대출상품,당행의 가업승계컨설팅 서비스를 받는 가업승계기업의 후계자,무보증 최고 3억원 이내 ※ 대출한도는 신용등급 및 연소득 금액에 따라 차등 적용됩니다.,"및 상환 방법 일시상환: 1년(최장 10년까지 기한연장 가능) - 종합통장자동대출 취급 불가 원금균등/원리금균등분할상환: 최저 1년 ~ 최장 10년 이내 - 거치기간은 대출기간의 30%범위 내에서 최장 12개월 이내이며, 변경은 불가 혼합상환 : 최저 1년 ~ 최장 10년 이내",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 동구 협약대출,부산광역시 동구의 융자추천을 받은 고객님께 최대 2천만원까지 확정금리 연 2.0%[거치기간(2년) 중에는 0%]를 제공하는 협약대출 상품.,부산광역시 동구의 융자추천을 받은 고객으로서 연대보증인 입보가 가능한 고객,최대 2천만원 이내(융자추천금액 범위 이내),"및 상환 방법 대출기간 : 5년(거치기간 2년) - 부산광역시 동구의 승인에 의해 1년 단위로 2회까지 대출기간 연장 가능 상환방법 : 거치기간 경과 후 연1회 원금균등분할상환 - 대출원리금 납입일 별도 지정 및 이자선납거래, 거치기간 변경 불가",,,,,,,,,,,,,,KB국민은행 부산진지점,,,,,,,,,,,,,,,
KB 4대연금 신용대출,"4대연금(국민연금, 군인연금, 공무원연금, 사학연금)을 국민은행으로 수령하는 고객에게 대출한도와 금리를 우대하는 연금수급권자 전용 신용대출 상품 '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","4대연금(국민연금, 군인연금, 공무원연금, 사학연금) 중 어느 하나를 매월(1회 이상) 국민은행 계좌를 통해 수령하는 고객으로 개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 고객 ※ 단, 일시금 수령자 및 연금이체 예정자는 제외","최대 1억원 이내 - 일시상환(종합통장자동대출 포함) : 최대 5천만원 이내 [단, 종합통장자동대출은 1인 1계좌만 가능하며, 연금수급(수령)계좌로 지정하는 경우에 한함] - 분할상환 : 최대 1억원 이내 ※ 대출한도는 연금종류 및 신용평가 결과 등에 따라 차등 적용됩니다.","및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년까지 기한연장 가능) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원금균등/원리금균등 분할상환 : 최저 1년 이상 최장 5년 이내 (거치기간 미운용) ※ 이자 또는 원리금은 매월 25일에 후취하며, 약정납입일은 변경 불가",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 청약(주택종합저축)담보대출,당행에 예치된 청약저축 또는 주택청약종합저축을 거래하는 고객이 긴급한 가계자금을 필요로 할 경우 청약저축의 중도해지에 따른 손실예방을 위해 납입액 범위 내에서 대출,"은행이 인정하는 본인 단독명의의 당행 청약저축(주택청약종합저축)을 담보로 제공하는 자 다음의 경우에는 담보대출을 취급불가 ☞청약저축(주택청약종합저축) 신규가입일을 포함하여 2영업일 이내의 담보대출. 다만, 재예치 예금 또는 주택청약예금/부금의 지역간 예치금액변경 및 평형변경은 제외 ☞제3자 명의의 청약저축(주택청약종합저축) 담보대출 ☞예금잔액증명서 발급계좌에 대한 발급당일 담보대출","당행 담보평가에서 정한 대출가능금액 이내 ☞청약저축(주택청약종합저축) 납입액의 95% 이내 ☞동일인 여신한도 : 제한없음 (단, 종합통장자동대출은 최고 3억원 이내로 취급, 3억원 초과 취급시 본부승인)",및 상환 방법 만기일시상환(종합통장자동대출 포함) ☞당행 청약저축(주택청약종합저축) 담보대출 : 1년이내 (예금 해지할 때까지 1년 단위로 자동기한연장),,,"신청시 유의사항 신청방법, 시간, 확인절차, 가능금액, 기타 대출신청방법 * 인터넷대출-국민은행 홈페이지,스마트폰-KB스타뱅킹 대출가능금액 * 당행 청약저축(주택청약종합저축) 납입액의 95% 이내 대출상환방법 * 만기일시상환(종합통장자동대출 포함) 대출신청가능시간 * 청약저축(주택청약종합저축) : 24시간(토요일,공휴일 포함) * 시스템 점검에 따른 거래제한 시간(23:00~00:10)은 대출신청 불가 기타 *「인터넷대출불가등록」신청고객은 인터넷 대출이 불가능합니다. * 당행 청약저축(주택청약종합저축) 신규가입일을 포함하여 2영업일 경과 후 대출신청이 가능합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,
당행 예부적금 등 수신금리연동담보대출,"당행 예·부·적금, 당행 발행 양도성예금증서(CD), 당행 발행 표지어음, 당행 발행 환매조건부채권(RP) 및 당행 신탁 등을 거래하는 고객이 이를 담보로 대출 실행","은행이 인정하는 본인 단독명의의 당행 예·부·적금·신탁 등을 담보로 제공하는 자 다음의 경우에는 담보대출 취급불가 ☞예금 신규 가입일을 포함하여 2영업일 이내의 예금담보대출. 다만, 재예치 예금 또는 주택청약예금/부금의 지역간 예치금액변경 및 평형변경은 제외 ☞계약해지의제좌에 편입된 적립식 예금의 담보대출 ☞수신금리가 일반 공시금리 미만인 예금 담보대출 ☞예금잔액증명서 발급계좌에 대한 발급 당일 담보대출 ☞당행 신탁 중 비과세 가계신탁은 은행대출의 담보로 할 수 없으며, 신탁대출로만 운용 ☞중장기주택부금을 담보로 대출취급 불가 ☞복수 예·부·적금 담보로 하는 경우 최대 5계좌까지 가능(일반예금과 아래 각호의 예금 상호간 또는 아래 각호의 예금 상호간 복수담보 취득 불가) -차세대주택종합통장[차세대주택종합통장내 주택부금(청약예금 포함), 정기예금(청약예금 포함) 상호간 복수담보 취급불가] -당행 신탁(당행 신탁 상호간에도 복수담보 취급 불가) - 수신금리연동대출로 취급이 불가한 예금[투자신탁, 외화예금 등]","당행 예·부·적금 및 신탁 담보대출 ☞당행 예·부·적금, CD, 표지어음, RP : 납입액의 95% 이내 ☞장부가신탁 : 표면잔액의 90% 이내 ☞시가평가신탁 : 담보별 담보인정비율 이내 ※ 예·부·적금 및 신탁 신규일(신규가입일 포함) 포함 2영업일 이후에 예·부·적금·신탁 담보대출 실행이 가능합니다.","및 상환 방법 만기일시상환(종합통장자동대출 포함) ☞당행 예·부·적금 담보대출 : 해당 예·부·적금 만기일 이내(1년 단위로 자동기한 연장) ☞당행 청약예금, 청약부금 담보대출 : 1년 이내(예금 해지할 때까지 자동기한연장) ☞당행 신탁 담보대출 : 1년(신탁 해지할 때까지 1년 단위로 자동기한연장)",,,"신청시 유의사항 신청방법, 시간, 확인절차, 가능금액, 기타 대출신청방법 * 인터넷대출-국민은행 홈페이지,스마트폰-KB스타뱅킹 대출신청가능금액 * 예·부·적금담보대출 : 납입액의 95% 범위내 * 신탁수익권담보대출 ㅇ 장부가신탁 : 표면잔액의 90% 이내 ㅇ 시가평가신탁 : 담보별 담보인정비율 범위내 ※ 대출가능금액은 이미 취급된 인터넷/스마트폰 예·부·적금·신탁 담보대출과 합산하여 운영합니다. ※ CD·표지어음·RP, 수익권담보대출로 운용 불가능한 당행 신탁, 투자신탁은 인터넷/스마트폰 대출로 실행이 불가합니다. 대출상환방법 * 만기일시상환(종합통장자동대출 포함) 대출신청가능시간 * 예·부·적금담보대출 : 24시간(토요일,공휴일 포함) *시스템 점검에 따른 거래제한 시간(23:50~00:10)은 대출신청 불가 * 신탁수익권담보대출 (시가평가) : 09:00~20:00 (토요일, 공휴일 제외) (장부가) : 09:00~21:00 (토요일, 공휴일 제외) 기 타 *「인터넷대출불가등록」신청고객은 인터넷(스마트폰) 대출이 불가능합니다. * 당행 예·부·적금·신탁 신규일(신규가입일 포함) 포함 2영업일 경과 후 대출신청이 가능합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,
KB 주택담보대출,혼합금리와 변동금리 중 선택이 가능한 주택담보대출,주택을 담보로 대출 신청하는 고객 (주택구입/신축/경락주택 구입자금대출 및 통장자동대출 포함),"담보조사가격 및 소득금액, 담보물건지 지역 등에 따른 대출가능금액 이내 (통장자동대출은 최고 3억원 이내)","및 상환 방법 대출기간 (1) 일시상환(통장자동대출 포함) : 최저 1년 이상 최장 5년 이내(통장자동대출은 1년) (2) 분할상환(원금균등, 원리금균등, 고객원금지정, 할부금고정) : 최저 1년 이상 최장 35년 이내 단, 할부금고정 분할상환 방식은 최장 10년 이내 (3) 혼합상환(일시상환+분할상환) : 최저 1년 이상 최장 20년 이내 ※ 위의 (1)~(3) 에도 불구하고 최저 대출기간은 금리변동주기 이상, 혼합금리대출은 10년 이상으로 운용 거치기간 - 총 대출기간의 30% 범위 내에서 최장 3년 이내 단, 「여신심사 선진화를 위한 모범규준」에서 정한 경우에는 비거치 또는 거치기간 1년으로 운용",,,,,,,,,,,,,,,주택(복합용도의 건물인 경우에는 주거전용면적이 건물전용면적의 1/2이상 이어야 함),,,,,,,,,,,,,,
주택자금대출,"주택의 신규분양, 재건축, 재개발 등 일정규모 이상의 주택사업장에 대해 은행과 시행(시공)사의 협약 등에 의해 취급되는 주택자금대출 사업장별, 대출종류별로 대출한도, 금리 등의 대출조건 상이","은행이 승인한 주택사업장의 수분양자, 조합원, 임차인 등",소요자금 이내,및 상환 방법 사업장별 승인사항에 따름(세부사항은 사업장별 별도 확인),,,,,,,,,"주택구입자금대출, 주택신축자금대출, 중도금대출, 전세자금대출, 이주비대출, 개량자금대출 등",사업장별 승인사항에 따름(세부사항은 사업장별 별도 확인),,,,,,,,,,,,,,,,,,,
한국주택금융공사 아낌e-보금자리론,한국주택금융공사가 사전에 양수 적격여부를 심사하여 고객의 대출금리를 낮춘 장기 고정금리 상품으로 향후 금리 변동의 위험을 피하고자 하는 고객에게 적합한 상품(인터넷 비대면 약정) - 기본형: 대출실행일부터 만기까지 고정금리가 적용되는 상품 - 주택연금사전예약형: 만40세 이상(본인 또는 배우자)고객이 보금자리론을 이용하면서 주택연금 가입을 사전예약하고 주택연금으로 전환 시 우대금리(연0.15% 또는 연0.30%)누적액을 장려금으로 지급하는 상품 - 입주자전용: 신규 분양아파트 잔금대출 용도로 다음 요건을 충족하는 고객이 신청가능 ⊙ 요건 : ① 2016.12.31까지 분양공고된 사업장 ② (임시)사용승인 완료 ③ 신청인이 최초 입주예정자(등기사항전부증명서상 최초 소유권자) ④ KB국민은행에서 입주시장 잔금 집단대출 승인을 받은 사업장 (신청 영업점에 문의),"민법상 성년으로 무주택자 또는 1주택 소유자(채무자와 배우자 기준)로서 부부합산 연소득 7천만원 이하(소득증빙 필수)인 대한민국 국민, 주민등록을 한 재외국민 및 외국국적동포 ※ 1주택 소유자(채무자와 배우자 기준)가 구입용도로 대출을 신청하는 경우 기존 보유주택을처분약정(담보주택 소재지가 투기지역, 투기과열지구인 경우 대출취급일로부터 1년, 기타지역인 경우 2년) 후 대출취급이 가능합니다. ☞ 처분기한 이내 동 주택을 처분하지 않는 경우에는 “기한의 이익”이 상실됩니다. 만 39세 이하 청년(부부합산 연소득 7천만원 이하) 또는 혼인관계증명서상 혼인신고일이 신청일로부터 7년 이내 신혼가구(부부합산 연소득이 8천 5백만원 이하)인 경우만 대출 만기 40년 선택 가능",기본형: 최저 1백만원 이상 ~ 3억 6천만원 이내 (1백만원 단위) (주택유형과 신용등급 담보물건지 지역 등에 따라 담보평가 금액의 최대 70%까지 대출),"및 상환 방법 대출기간 : 10년,15년,20년,30년,40년 거치기간(이자만 납부하는 기간) 없음 매월 원금균등, 원리금균둥, 체증식 분할상환※ ※ 원금상환이 시작되는 고정금리기간 중에만 적용 ※ 대출만기를 40년으로 선택하는 경우에는 체증식 분할상환방식 선택 불가 분할상환기간 : 원금은 약정된 분할상환 납입일에 균등분할 상환하고, 이자는 원금상환방법과 동일한 월단위로 후취",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국주택금융공사 U-보금자리론,- 한국주택금융공사가 사전에 양수 적격 여부를 심사하여 고객의 대출금리를 낮춘 장기 고정금리 상품으로 향후 금리 변동의 위험을 피하고자 하는 고객에게 적합한 상품 - 기본형 : 대출실행일부터 만기까지 고정금리가 적용되는 상품 - 주택연금사전예약형 : 만40세 이상(본인 또는 배우자)고객이 보금자리론을 이용하면서 주택연금 가입을 사전예약하고 주택연금으로 전환시 우대금리(연0.15% 또는 0.30%)누적액을 장려금으로 지급하는 상품 -입주자전용 : 신규 분양아파트 잔금대출 용도로 다음 요건을 충족하는 고객이 신청가능 ㅇ(임시)사용승인 완료 및 KB국민은행에서 입주시장 잔금 집단대출 승인을 받은 사업장(신청 영업점에 문의) ㅇ신청인이 최초 입주예정자(등기사항전부증명서상 최초 소유권자) ㅇ2016.12.31까지 분양공고된 사업장,"- 민법상 성년으로 무주택자 또는 1주택 소유자(채무자와 배우자 기준)로서 부부합산 연소득 7천만원 이하(소득증빙 필수)인 대한민국 국민, 주민등록을 한 재외국민 및 외국국적동포 ※1주택 소유자(채무자와 배우자 기준)가 구입용도로 대출을 신청하는 경우 기존 보유주택을처분약정(담보주택 소재지가 투기지역, 투기과열지구인 경우 대출취급일로부터 1년, 기타지역인 경우 2년) 후 대출취급이 가능합니다. ☞ 처분기한 이내 동 주택을 처분하지 않는 경우에는 “기한의 이익”이 상실됩니다. - 만 39세 이하 청년(부부합산 연소득 7천만원 이하) 또는 혼인관계증명서상 혼인신고일이 신청일로부터 7년 이내 신혼가구(부부합산 연소득이 8천 5백만원 이하)인 경우만 대출 만기 40년 선택 가능","- 최저 1백만원 이상 ~ 3억 6천만원 이내 (1백만원 단위) (주택유형과 신용등급, 담보물건지 지역 등에 따라 담보평가금액의 최대 70%까지 대출)","및 상환 방법 - 대출기간 : 10년,15년,20년,30년, 40년 (거치기간 없음) - 매월 원금균등, 원리금균등, 체증식 분할상환 ※ 대출만기를 40년으로 선택하는 경우에는 체증식 분할상환방식 선택 불가",,,,,,,,,,,,,,,"- 공부상 주택이고 실제 주거용으로 이용되는 아파트,연립,다세대,단독주택 - 단, 고가주택(6억원 초과), 다가구주택, 복합주택, 오피스텔,상가 등은 제외, 근저당권 1순위 원칙",,,,,,,,,,,,,,
KB 일반부동산 담보대출,일반부동산(주택 제외)을 담보로 신청가능한 대출상품,"일반부동산(상가, 오피스텔, 나대지 등)을 담보로 대출 신청하는 고객 ☞ 비대면 대출신청은 오피스텔만 가능","담보조사가격 및 소득금액, 담보물건지 지역 등에 따른 대출가능금액 이내 (통장자동대출은 최고 3억원 이내)","및 상환 방법 대출기간 (1) 일시상환(통장자동대출 포함) : 최저 1년 이상 최장 5년 이내(통장자동대출은 1년) (2) 분할상환(원금균등, 원리금균등, 고객원금지정, 할부금고정) : 최저 1년 이상 최장 35년 이내 - 할부금고정 분할상환 방식은 최장 10년 이내 - 나지(나대지, 전, 답 등) 담보대출은 최장 10년 이내 (3) 혼합상환(일시상환+분할상환) : 최저 1년 이상 최장 20년 이내 ※ 위의 (1)~(3) 에도 불구하고 최저 대출기간은 금리변동주기 이상으로 운용 거치기간 - 총 대출기간의 30% 범위 내에서 최장 3년 이내",,,,,,,,,,,,,,,"일반부동산(상가, 오피스텔, 나대지 등)/li>",,,,,,,,,,,,,,
재건축ㆍ재개발ㆍ리모델링 조합원에 대한 이주비대출,"기존 주택의 재개발, 재건축, 리모델링에 따라 이주자금을 지원하는 상품","주택재개발, 재건축, 리모델링주택조합의 조합원으로서 시행(시공)자가 대출대상자로 선정한 고객",세대당 이주비대출 승인금액 범위 내,"및 상환 방법 최장 5년이내(조합주택의 입주예정일까지). 단, 부산광역시 협약 이주비 대출인 경우 최장 4년 이내에서 해당 조합주택의 입주예정일까지로 하되, 부산광역시 이차보전기간 이내로 함 상환방법 : 일시상환",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB골든라이프 공사주택연금론,"종신연금, 종신거주 보장 대출금 상환의 부담이 없습니다. 주택가격을 초과하여 연금 수령 가능 예상연금 및 보증료율 조회하기 http://www.hf.go.kr/hindex.htm","구분,일반형,주택담보대출 상환용,우대형 구분 일반형 주택담보대출 상환용 우대형 가입연령 소유자 또는 배우자 만 55세 이상 소유자 또는 배우자 만65세 이상(기초연금 수급자) 보유주택 공시가격 등이 9억원이하 1주택자 또는 보유주택 공시가격 등의 합계가 9억 원 이하 다주택자 부부 기준 1주택 1.5억원 이하 인출한도 대출한도의 50%이내 수시인출 대출한도의 50%초과 70%이내 일시인출 대출한도의 45%이내 수시인출",'주택담보노후연금보증서'상의 보증금액,및 상환 방법 대출기간: 신청일 현재 채무자와 그 배우자 중 연령이 낮은 자를 기준으로 만 100세 이내에 연금보증서에서 정한 기간 상환방법: 만기일시상환,,,,,,,,,,,,,,,"현재 소유주택과 거주주택이 동일한 경우에 한함 권리침해(가압류 등)사실이 없는 주택(이용 중 권리변경 불가) 대상 주택의 적정 여, 부는 한국주택금융공사에서 확인",,,,,,,,,,,,,,
KB 그린리모델링 협약대출(가계),"주택소유주가 에너지 성능 개선 공사비를 은행에서 대출 받은 뒤 정부로부터 이자지원을 받는 대출상품 주택소유주가 「그린리모델링 사업자」를 선정하여 「그린리모델링 창조센터」로 사업신청 후 사업이(리모델링 공사)완료되면 사업(변경)확인서 및 사업완료 확인서를 발급 받아 은행에 대출신청(사업완료 후 3개월 초과시 대출신청불가) ※ 그린리모델링 창조센터 : 접수문의 연락처 1600-1004, 홈페이지 www.greenremodeling.or.kr",「그린리모델링 창조센터」로부터 '사업(변경)확인서 및 사업완료 확인서'를 발급받은 만 19세 이상 주택소유자로서 KB국민은행 대출심사기준을 통과하고 '주택금융신용보증서'가 발급되는 고객,"공동주택(1호당)은 최소 3백만원 이상 최대 2천만원 이내, 공동주택 이외 주택(1호당)은 최소 3백만원 이상 최대 5천만원 이내 대출신청 가능(10만원 단위) ※ 단, '공사비', 「그린리모델링 창조센터」의 '이자지원 대상금액' 및 '주택금융신용보증서 발급 가능금액' 중 작은금액 이내에서 대출신청 가능",및 상환 방법 대출기간 : 1년 이상 5년 이내(연 단위) 상환방법 : 원금균등 분할상환(거치기간 운용 불가),,,,,,,,,,「사업완료 확인서」상의 사업완료일로부터 3개월 이내 신청 가능,,,,,"목적물 가격 9억원 이하의 아파트, 연립주택, 다세대주택, 도시형생활주택(아파트형, 다세대 및 연립형), 단독주택(다가구 포함), 주상복합주택(단, 주택면적이 1/2 이상이어야 함)",,,,,,,,,,,,,,
KB나라사랑대출(주택자금),국가보훈처와 협약에 따라 나라를 위해 헌신한 국가유공자 등을 위한 전용 상품,무주택자로서 국가보훈처로부터 전자문서로 대출 추천을 받은 국가유공자 및 장기복무(10년이상 복무)한 제대군인 고객 대출신청자격 대출종류 대출신청대상 주택구입자금 - 본인명의 주택을 구입 예정이거나 구입한 고객 주택신축자금 - 본인명의 대지에 본인명의 주택을 신축하는 고객 아파트분양자금 - 본인명의 아파트 최초 분양 받은 고객 주택전세자금 - 본인명의로 임대차보증금 수도권 5억원(지방 3억원) 이하인 임대차계약을 체결하고 임차보증금의 5% 이상을 계약금으로 지급한 민법상 성년인 세대주 또는 세대주로 인정되는 자 ☞ 본인이 국가보훈처에서 별도로 정한 기준에 충족하여 대출추천을 받을 수 있다면 중복대출 및 자금별로 대출신청이 가능합니다. ☞ 주택구입자금 대출은 소득공제 요건 충족 시 연말정산 소득공제 적용됩니다. (소득공제혜택은 소득공제 세법이 개정될 경우 변경될 수 있습니다.),"대출금액은 국가보훈처 추천금액과 대출가능금액 중 작은 금액 ☞ 단, 지역별/차주별 대출한도가 차등되거나 대출이 불가할 수 있음 대출가능금액 및 신청시기 대출종류 추천금액 대출가능금액 대출신청시기 주택구입/ 신축자금 - 대도시 : 6천만원 - 중소도시 : 4천만원 - 농어촌 : 3천만원 - 담보조사가격에 의한 대출 가능금액 - 계약서상 잔금 납부전까지 또는 소유권 이전(등기) 접수일로부터 3개월 이내 아파트 분양자금 - 대도시 : 6천만원 - 중소도시 : 4천만원 - 농어촌 : 3천만원 - 분양계약서상 분양금액 - 분양계약 체결일로부터 잔금 납입일 이전 까지 주택 전세자금 - 대도시 : 4천만원 - 중소도시 : 2천5백만원 - 농어촌 : 1천5백만원 - 임차보증금 100%범위내 - 신규임차 : 입주일과 주민등록 전입일 중 빠른 날짜로 부터 3개월 이내 - 계약갱신 : 갱신일로부터 3개월 이내",및 상환 방법 대출기간은 대출종류에 따라 아래와 같으며 대출상환은 원리금균등분할상환방식으로 한다. · 주택구입/신축/아파트분양자금 : 20년 · 주택전세자금 : 7년,,,,,,,,,,,,,,,"대출대상주택 대출종류 대상주택 주택구입/신축자금 - 공부상 주택이고 실제 주거용으로 이용되는 주택으로 종류, 구조 및 면적은 제한 없음(단,복합용도 건물인 경우 주거전용면적이 건물전용면적의 1/2이상이어야함) 주택전세자금 - 공부상 주택 및 준주택 중 주거용 오피스텔과 노인복지주택(임차보증금 수도권 5억원(지방 3억원)) 아파트분양자금 - 분양(건설) 세대수 20세대 이상 주택",,,,,,,,,,,,,,
당타행 예부적금 등 유가증권 담보대출,"은행이 인정하는 금융기관(은행)의 예·부·적금 등 및 국채·지방채·공채, 은행발행 양도성예금증서(CD)·표지어음·환매조건부채권(RP)을 거래하는 고객이 이를 담보로 대출 실행","은행이 인정하는 금융기관(은행)의 예·부·적금 등 및 국채·지방채·공채, 은행발행 양도성예금증서(CD)·표지어음·환매조건부채권(RP)에 한하여 담보로 제공하는 고객(후순위채권, 신종자본증권은 담보로 취득할 수 없음)",‘담보평가’에서 정한 대출가능금액 이내,"및 상환 방법 담보 예금, 증권 등의 해당기일 내에서 - 최장 5년 이내 분할상환 - 최장 5년 이내 일시상환 또는 종합통장자동대출 ☞ 담보 예금, 증권 등의 해당기일 내에서 최장 10년까지 기한연장",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오피스텔 상가에 대한 중도금(잔금)대출(준주택 포함),상업용 부동산을 분양받고자 하는 고객을 위한 대출,"오피스텔, 상가, 사무실, 노인복지주택 등을 분양 받아 분양계약서상 총 분양대금의 10% 이상을 납입한 고객 주택도시보증공사 주택자금대출보증서 담보인 경우에는 분양계약서상 총 분양대금의 5% 이상을 납입한 고객",후취담보 취득 시 예상대출가능금액 이내(분양가격ｘ담보인정비율-선순위 차감금액),및 상환 방법 일시상환 : 최저 1년 이상 5년 이내(3개월 변동금리는 최장3년 이내) 분할상환 : 최저 1년 이상 35년 이내(3/6개월 변동금리는 최장30년 이내) (대출기간의 30% 범위내에서 최장 3년까지 거치기간 운용 가능),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
